"municipio","low_cost","mean(precio_gasoleo_a, na.rm = TRUE)","mean(precio_gasolina_95_e5_premium, na.rm = TRUE)","max(precio_gasoleo_a, na.rm = TRUE)","max(precio_gasolina_95_e5_premium, na.rm = TRUE)","min(precio_gasoleo_a, na.rm = TRUE)","min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Cantalejo",TRUE,1.378,NA,1.378,-Inf,1.378,Inf
"Cantalpino",FALSE,1.319,NA,1.319,-Inf,1.319,Inf
"Cantillana",FALSE,1.334,1.539,1.369,1.539,1.289,1.539
"Cantillana",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Cantoria",FALSE,1.267,NA,1.275,-Inf,1.259,Inf
"Canyelles",FALSE,1.239,NA,1.239,-Inf,1.239,Inf
"Canyelles",TRUE,1.415,NA,1.415,-Inf,1.415,Inf
"Cañada",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Cañada Rosal",FALSE,1.31266666666667,NA,1.433,-Inf,1.226,Inf
"Cañaveral",FALSE,1.399,NA,1.399,-Inf,1.399,Inf
"Cañaveras",FALSE,1.3445,NA,1.389,-Inf,1.3,Inf
"Cañaveruelas",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Cañete",FALSE,1.3345,NA,1.379,-Inf,1.29,Inf
"Cañete de las Torres",FALSE,1.272,NA,1.272,-Inf,1.272,Inf
"Cañete la Real",FALSE,1.273,NA,1.273,-Inf,1.273,Inf
"Cañiza (A)",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Cañiza (A)",TRUE,1.42566666666667,NA,1.439,-Inf,1.409,Inf
"Cañizal",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Caparroso",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Caparroso",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Capdepera",TRUE,1.4185,NA,1.429,-Inf,1.408,Inf
"Capela (A)",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Capella",FALSE,1.275,NA,1.275,-Inf,1.275,Inf
"Capmany",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Caravaca de la Cruz",FALSE,1.25716666666667,NA,1.299,-Inf,1.239,Inf
"Caravaca de la Cruz",TRUE,1.3694,1.554,1.375,1.554,1.359,1.554
"Carbajales de Alba",TRUE,1.395,NA,1.395,-Inf,1.395,Inf
"Carbajosa de la Sagrada",FALSE,1.2736,NA,1.329,-Inf,1.239,Inf
"Carbajosa de la Sagrada",TRUE,1.3475,1.486,1.409,1.486,1.286,1.486
"Carballedo",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Carballedo",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Carballiño (O)",FALSE,1.395,NA,1.395,-Inf,1.395,Inf
"Carballiño (O)",TRUE,1.422,NA,1.429,-Inf,1.408,Inf
"Carballo",FALSE,1.342,NA,1.418,-Inf,1.289,Inf
"Carballo",TRUE,1.39666666666667,NA,1.409,-Inf,1.379,Inf
"Carboneras",FALSE,1.389,NA,1.389,-Inf,1.389,Inf
"Carboneras de Guadazaón",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Carbonero el Mayor",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Carbonero el Mayor",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Carboneros",FALSE,1.297,NA,1.297,-Inf,1.297,Inf
"Carcabuey",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Carcaixent",FALSE,1.289,NA,1.309,-Inf,1.279,Inf
"Carcaixent",TRUE,1.4005,NA,1.409,-Inf,1.392,Inf
"Cárcar",FALSE,1.2635,NA,1.268,-Inf,1.259,Inf
"Carcastillo",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Carcedo de Burgos",FALSE,1.269,NA,1.269,-Inf,1.269,Inf
"Cárcheles",TRUE,1.395,1.603,1.395,1.603,1.395,1.603
"Cardedeu",FALSE,1.429,NA,1.429,-Inf,1.429,Inf
"Cardedeu",TRUE,1.449,NA,1.449,-Inf,1.449,Inf
"Cardeña",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Cardeñajimeno",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Cardona",FALSE,1.276,NA,1.289,-Inf,1.26,Inf
"Cariñena",FALSE,1.345,NA,1.345,-Inf,1.345,Inf
"Cariñena",TRUE,1.379,1.574,1.379,1.574,1.379,1.574
"Cariño",FALSE,1.355,NA,1.355,-Inf,1.355,Inf
"Carlet",FALSE,1.296,NA,1.429,-Inf,1.245,Inf
"Carlet",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Carlota (La)",FALSE,1.33733333333333,NA,1.389,-Inf,1.309,Inf
"Carlota (La)",TRUE,1.39233333333333,NA,1.409,-Inf,1.379,Inf
"Carmena",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Carmona",FALSE,1.30128571428571,NA,1.395,-Inf,1.244,Inf
"Carmona",TRUE,1.39785714285714,1.579,1.409,1.579,1.389,1.579
"Carnota",TRUE,1.399,1.629,1.399,1.629,1.399,1.629
"Carolina (La)",FALSE,1.34566666666667,NA,1.399,-Inf,1.299,Inf
"Carolina (La)",TRUE,1.401,1.563,1.439,1.563,1.369,1.563
"Carpio (El)",TRUE,1.429,1.569,1.429,1.569,1.429,1.569
"Carpio de Tajo (El)",FALSE,1.307,NA,1.307,-Inf,1.307,Inf
"Carral",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Carral",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Carranque",TRUE,1.339,NA,1.339,-Inf,1.339,Inf
"Carreño",FALSE,1.3942,NA,1.419,-Inf,1.339,Inf
"Carreño",TRUE,1.379,NA,1.389,-Inf,1.369,Inf
"Carrión de Calatrava",FALSE,1.289,NA,1.289,-Inf,1.289,Inf
"Carrión de Calatrava",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Carrión de los Céspedes",FALSE,1.419,NA,1.419,-Inf,1.419,Inf
"Carrión de los Condes",FALSE,1.334,NA,1.369,-Inf,1.299,Inf
"Carrizo",FALSE,1.38,NA,1.38,-Inf,1.38,Inf
"Carrizosa",FALSE,1.399,NA,1.399,-Inf,1.399,Inf
"Carrocera",FALSE,1.418,NA,1.418,-Inf,1.418,Inf
"Cartagena",FALSE,1.31092857142857,1.438,1.369,1.438,1.207,1.438
"Cartagena",TRUE,1.36053333333333,1.54063636363636,1.379,1.569,1.309,1.519
"Cártama",FALSE,1.369,NA,1.409,-Inf,1.329,Inf
"Cártama",TRUE,1.424,NA,1.439,-Inf,1.419,Inf
"Cartaya",FALSE,1.30266666666667,NA,1.379,-Inf,1.26,Inf
"Cartaya",TRUE,1.394,NA,1.409,-Inf,1.379,Inf
"Cartelle",FALSE,1.363,NA,1.363,-Inf,1.363,Inf
"Cartes",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Cartes",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Carucedo",FALSE,1.298,NA,1.298,-Inf,1.298,Inf
"Casabermeja",FALSE,1.329,NA,1.329,-Inf,1.329,Inf
"Casabermeja",TRUE,1.405,1.648,1.405,1.648,1.405,1.648
"Casar (El)",FALSE,NA,1.509,-Inf,1.509,Inf,1.509
"Casar (El)",TRUE,1.418,NA,1.429,-Inf,1.407,Inf
"Casar de Cáceres",FALSE,1.269,NA,1.269,-Inf,1.269,Inf
"Casar de Cáceres",TRUE,1.40533333333333,1.569,1.428,1.569,1.389,1.569
"Casar de Escalona (El)",FALSE,1.279,NA,1.279,-Inf,1.279,Inf
"Casarabonela",FALSE,1.333,NA,1.334,-Inf,1.332,Inf
"Casares",FALSE,1.374,NA,1.419,-Inf,1.329,Inf
"Casariche",FALSE,1.2995,NA,1.319,-Inf,1.28,Inf
"Casarrubios del Monte",FALSE,1.334,NA,1.408,-Inf,1.26,Inf
"Casarrubios del Monte",TRUE,1.422,NA,1.429,-Inf,1.418,Inf
"Casarrubuelos",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Casas-Ibáñez",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Casas de Benítez",FALSE,1.279,NA,1.279,-Inf,1.279,Inf
"Casas de Don Gómez",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Casas de Don Pedro",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Casas de Fernando Alonso",FALSE,1.269,NA,1.269,-Inf,1.269,Inf
"Casas de Haro",FALSE,1.262,NA,1.262,-Inf,1.262,Inf
"Casas de Haro",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Casas de Juan Núñez",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Casas de los Pinos",FALSE,1.25,NA,1.25,-Inf,1.25,Inf
"Casas del Castañar",FALSE,1.24,NA,1.24,-Inf,1.24,Inf
"Casaseca de las Chanas",FALSE,1.288,NA,1.288,-Inf,1.288,Inf
"Casasimarro",FALSE,1.28066666666667,NA,1.309,-Inf,1.248,Inf
"Casasola de Arión",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Cascante",FALSE,1.364,NA,1.364,-Inf,1.364,Inf
"Cascante",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Cáseda",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Casinos",FALSE,1.324,NA,1.349,-Inf,1.299,Inf
"Caspe",FALSE,1.24,NA,1.24,-Inf,1.24,Inf
"Caspe",TRUE,1.3855,NA,1.389,-Inf,1.382,Inf
"Cassà de la Selva",FALSE,1.31533333333333,NA,1.379,-Inf,1.279,Inf
"Cassà de la Selva",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Castalla",FALSE,1.339,NA,1.339,-Inf,1.339,Inf
"Castalla",TRUE,1.407,1.609,1.415,1.609,1.399,1.609
"Castañar de Ibor",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Castejón",FALSE,1.289,NA,1.299,-Inf,1.279,Inf
"Castejón",TRUE,1.395,NA,1.395,-Inf,1.395,Inf
"Castejón de Sos",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Castejón de Valdejasa",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Castejón del Puente",FALSE,1.389,1.559,1.389,1.559,1.389,1.559
"Castell-Platja d'Aro",FALSE,1.334,NA,1.389,-Inf,1.279,Inf
"Castell-Platja d'Aro",TRUE,1.394,NA,1.399,-Inf,1.389,Inf
"Castell (Es)",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Castellanos de Moriscos",TRUE,1.385,NA,1.385,-Inf,1.385,Inf
"Castellar",FALSE,1.35933333333333,NA,1.379,-Inf,1.34,Inf
"Castellar de la Frontera",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Castellar de Santiago",FALSE,1.249,NA,1.249,-Inf,1.249,Inf
"Castellar de Santiago",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Castellar del Vallès",FALSE,1.318,NA,1.429,-Inf,1.246,Inf
"Castellar del Vallès",TRUE,1.4015,1.629,1.439,1.629,1.299,1.629
"Castellbell i el Vilar",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Castellbisbal",FALSE,1.297,NA,1.341,-Inf,1.259,Inf
"Castellbisbal",TRUE,1.391,NA,1.439,-Inf,1.309,Inf
"Castelldans",FALSE,1.24,NA,1.24,-Inf,1.24,Inf
"Castelldefels",FALSE,1.379,1.429,1.419,1.429,1.299,1.429
"Castelldefels",TRUE,1.424,NA,1.429,-Inf,1.419,Inf
"Castellet i la Gornal",TRUE,1.415,1.619,1.415,1.619,1.415,1.619
"Castelló d'Empúries",FALSE,1.26825,NA,1.356,-Inf,1.199,Inf
"Castelló d'Empúries",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Castelló de Rugat",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Castellón de la Plana/Castelló de la Plana",FALSE,1.33531578947368,NA,1.389,-Inf,1.249,Inf
"Castellón de la Plana/Castelló de la Plana",TRUE,1.37816666666667,1.554,1.405,1.554,1.349,1.554
"Castellote",FALSE,1.11,NA,1.11,-Inf,1.11,Inf
"Castellterçol",FALSE,1.409,NA,1.409,-Inf,1.409,Inf
"Castelserás",FALSE,1.222,NA,1.222,-Inf,1.222,Inf
"Castielfabib",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Castilblanco",FALSE,1.395,NA,1.395,-Inf,1.395,Inf
"Castilblanco de los Arroyos",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Castiliscar",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Castilleja de la Cuesta",FALSE,1.3395,NA,1.399,-Inf,1.28,Inf
"Castilléjar",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Castillejo de Iniesta",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Castillejo de Iniesta",TRUE,1.405,1.578,1.405,1.578,1.405,1.578
"Castillejo de Mesleón",TRUE,1.4035,NA,1.408,-Inf,1.399,Inf
"Castillo de Bayuela",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Castillo de Garcimuñoz",TRUE,1.4,1.574,1.403,1.574,1.394,1.574
"Castillo de las Guardas (El)",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Castillo de Locubín",FALSE,1.27633333333333,NA,1.359,-Inf,1.21,Inf
"Castrejón de Trabancos",FALSE,1.265,NA,1.265,-Inf,1.265,Inf
"Castrelo de Miño",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Castril",FALSE,1.35,NA,1.35,-Inf,1.35,Inf
"Castril",TRUE,1.349,NA,1.349,-Inf,1.349,Inf
"Castrillo de la Vega",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Castrillón",FALSE,1.258,NA,1.258,-Inf,1.258,Inf
"Castrillón",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Castro-Urdiales",FALSE,1.374,NA,1.429,-Inf,1.289,Inf
"Castro-Urdiales",TRUE,1.419,NA,1.439,-Inf,1.409,Inf
"Castro Caldelas",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Castro de Rei",FALSE,1.29,NA,1.295,-Inf,1.285,Inf
"Castro de Rei",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Castro del Río",FALSE,1.284,NA,1.289,-Inf,1.279,Inf
"Castro del Río",TRUE,1.407,NA,1.425,-Inf,1.389,Inf
"Castrocalbón",FALSE,1.409,NA,1.409,-Inf,1.409,Inf
"Castrocontrigo",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Castrogonzalo",FALSE,1.279,NA,1.279,-Inf,1.279,Inf
"Castrojeriz",FALSE,1.419,NA,1.419,-Inf,1.419,Inf
"Castropol",FALSE,1.339,NA,1.339,-Inf,1.339,Inf
"Castroverde",FALSE,1.344,NA,1.389,-Inf,1.299,Inf
"Castroverde de Cerrato",FALSE,1.31,NA,1.31,-Inf,1.31,Inf
"Castuera",FALSE,1.309,NA,1.329,-Inf,1.289,Inf
"Catadau",FALSE,1.3285,NA,1.369,-Inf,1.288,Inf
"Catarroja",FALSE,1.30633333333333,NA,1.379,-Inf,1.259,Inf
"Catllar (El)",FALSE,1.409,NA,1.409,-Inf,1.409,Inf
"Catllar (El)",TRUE,1.479,NA,1.479,-Inf,1.479,Inf
"Catoira",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Catral",FALSE,1.329,NA,1.379,-Inf,1.279,Inf
"Caudete",FALSE,1.36225,NA,1.398,-Inf,1.324,Inf
"Caudete",TRUE,1.394,NA,1.409,-Inf,1.379,Inf
"Caudete de las Fuentes",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Caudete de las Fuentes",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Cazalegas",FALSE,1.339,NA,1.339,-Inf,1.339,Inf
"Cazalegas",TRUE,1.4355,1.579,1.459,1.579,1.405,1.579
"Cazalilla",FALSE,1.279,NA,1.279,-Inf,1.279,Inf
"Cazalla de la Sierra",TRUE,1.3935,1.579,1.398,1.579,1.389,1.579
"Cazorla",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Cebolla",FALSE,1.307,NA,1.307,-Inf,1.307,Inf
"Cebreros",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Ceclavín",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Cedeira",FALSE,1.352,NA,1.399,-Inf,1.305,Inf
"Cedillo del Condado",FALSE,1.319,NA,1.319,-Inf,1.319,Inf
"Cedillo del Condado",TRUE,1.389,1.569,1.389,1.569,1.389,1.569
"Cedrillas",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Cee",FALSE,1.329,NA,1.329,-Inf,1.329,Inf
"Cee",TRUE,1.369,1.539,1.369,1.539,1.369,1.539
"Cehegín",FALSE,1.2655,NA,1.309,-Inf,1.225,Inf
"Cehegín",TRUE,1.402,NA,1.429,-Inf,1.375,Inf
"Celadas",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Celanova",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Cella",FALSE,1.27033333333333,NA,1.349,-Inf,1.223,Inf
"Cella",TRUE,1.389,1.589,1.389,1.589,1.389,1.589
"Cellera de Ter (La)",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Celrà",TRUE,1.364,NA,1.399,-Inf,1.329,Inf
"Cenes de la Vega",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Cenes de la Vega",TRUE,1.349,NA,1.349,-Inf,1.349,Inf
"Cenicero",FALSE,1.419,NA,1.419,-Inf,1.419,Inf
"Cenizate",FALSE,1.243,NA,1.243,-Inf,1.243,Inf
"Centelles",FALSE,1.279,NA,1.279,-Inf,1.279,Inf
"Cerceda",TRUE,1.389,NA,1.409,-Inf,1.359,Inf
"Cercedilla",TRUE,1.449,NA,1.449,-Inf,1.449,Inf
"Cercs",FALSE,1.319,1.429,1.319,1.429,1.319,1.429
"Cerdanyola del Vallès",FALSE,1.29842857142857,NA,1.449,-Inf,1.225,Inf
"Cerdanyola del Vallès",TRUE,1.423,1.625,1.439,1.625,1.415,1.625
"Cerdedo",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Cerdido",FALSE,1.375,NA,1.375,-Inf,1.375,Inf
"Cerezo de Abajo",FALSE,1.389,NA,1.389,-Inf,1.389,Inf
"Cerralbos (Los)",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Cerralbos (Los)",TRUE,1.459,NA,1.459,-Inf,1.459,Inf
"Cerro de Andévalo (El)",FALSE,1.36,NA,1.36,-Inf,1.36,Inf
"Cervelló",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Cervera",FALSE,1.2475,NA,1.399,-Inf,1.174,Inf
"Cervera",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Cervera de la Cañada",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Cervera de Pisuerga",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Cervera del Llano",FALSE,1.28,NA,1.28,-Inf,1.28,Inf
"Cervera del Llano",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Cervera del Río Alhama",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Cervià de Ter",FALSE,1.257,NA,1.257,-Inf,1.257,Inf
"Cervo",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Cetina",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Cetina",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Ceuta",FALSE,1.11857142857143,NA,1.124,-Inf,1.105,Inf
"Ceuta",TRUE,1.139,1.264,1.139,1.264,1.139,1.264
"Ceutí",FALSE,1.2895,1.459,1.29,1.459,1.289,1.459
"Ceutí",TRUE,1.388,NA,1.388,-Inf,1.388,Inf
"Cevico de la Torre",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Chantada",FALSE,1.439,NA,1.439,-Inf,1.439,Inf
"Chantada",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Chañe",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Chauchina",TRUE,1.374,NA,1.389,-Inf,1.359,Inf
"Chella",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Chelva",TRUE,1.349,NA,1.349,-Inf,1.349,Inf
"Cheste",FALSE,1.27,NA,1.27,-Inf,1.27,Inf
"Chiclana de la Frontera",FALSE,1.32130769230769,NA,1.359,-Inf,1.299,Inf
"Chiclana de la Frontera",TRUE,1.369,1.5535,1.437,1.573,1.349,1.529
"Chiclana de Segura",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Chilches/Xilxes",TRUE,1.404,NA,1.439,-Inf,1.369,Inf
"Chillarón de Cuenca",TRUE,1.409,1.638,1.409,1.638,1.409,1.638
"Chillón",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Chilluévar",FALSE,1.228,NA,1.228,-Inf,1.228,Inf
"Chiloeches",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Chinchilla de Monte-Aragón",TRUE,1.409,NA,1.419,-Inf,1.399,Inf
"Chinchón",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Chipiona",FALSE,1.324,NA,1.329,-Inf,1.319,Inf
"Chipiona",TRUE,1.376,1.519,1.379,1.519,1.369,1.519
"Chirivel",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Chiva",FALSE,1.30266666666667,NA,1.379,-Inf,1.19,Inf
"Chiva",TRUE,1.399,1.549,1.399,1.549,1.399,1.549
"Chozas de Abajo",FALSE,1.3,NA,1.3,-Inf,1.3,Inf
"Chozas de Canales",FALSE,1.335,NA,1.399,-Inf,1.271,Inf
"Chucena",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Chulilla",FALSE,1.109,NA,1.109,-Inf,1.109,Inf
"Churriana de la Vega",FALSE,1.283,NA,1.299,-Inf,1.275,Inf
"Churriana de la Vega",TRUE,1.379,1.579,1.379,1.579,1.379,1.579
"Ciempozuelos",FALSE,1.348,NA,1.419,-Inf,1.277,Inf
"Ciempozuelos",TRUE,1.401,NA,1.425,-Inf,1.369,Inf
"Cieza",FALSE,1.259,NA,1.269,-Inf,1.249,Inf
"Cieza",TRUE,1.381,NA,1.399,-Inf,1.369,Inf
"Cifuentes",TRUE,1.389,1.573,1.389,1.573,1.389,1.573
"Cigales",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Cijuela",FALSE,1.349,NA,1.389,-Inf,1.309,Inf
"Cilleros",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Cilleruelo de Abajo",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Cillorigo de Liébana",FALSE,1.289,NA,1.289,-Inf,1.289,Inf
"Cintruénigo",FALSE,1.334,NA,1.369,-Inf,1.299,Inf
"Cintruénigo",TRUE,1.395,1.583,1.395,1.583,1.395,1.583
"Cistérniga",TRUE,1.385,1.573,1.385,1.573,1.385,1.573
"Cistierna",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Cistierna",TRUE,1.459,NA,1.459,-Inf,1.459,Inf
"Ciudad Real",FALSE,1.319,NA,1.369,-Inf,1.269,Inf
"Ciudad Real",TRUE,1.36627272727273,1.534,1.389,1.549,1.319,1.519
"Ciudad Rodrigo",FALSE,1.359,NA,1.409,-Inf,1.309,Inf
"Ciudad Rodrigo",TRUE,1.399,NA,1.429,-Inf,1.369,Inf
"Ciutadella de Menorca",FALSE,1.409,NA,1.409,-Inf,1.409,Inf
"Ciutadella de Menorca",TRUE,1.453,NA,1.479,-Inf,1.439,Inf
"Cizur",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Coaña",TRUE,1.39566666666667,NA,1.399,-Inf,1.389,Inf
"Cobeña",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Cobeña",TRUE,1.399,NA,1.419,-Inf,1.379,Inf
"Cobisa",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Cobreros",FALSE,1.389,NA,1.389,-Inf,1.389,Inf
"Coca",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Cocentaina",FALSE,1.319,NA,1.359,-Inf,1.279,Inf
"Cocentaina",TRUE,1.363,NA,1.389,-Inf,1.319,Inf
"Codoñera (La)",FALSE,1.215,NA,1.215,-Inf,1.215,Inf
"Codosera (La)",FALSE,1.339,NA,1.339,-Inf,1.339,Inf
"Codosera (La)",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Cogeces del Monte",FALSE,1.289,NA,1.289,-Inf,1.289,Inf
"Cogollos de la Vega",FALSE,1.225,NA,1.225,-Inf,1.225,Inf
"Coín",FALSE,1.345,NA,1.367,-Inf,1.329,Inf
"Coín",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Coirós",FALSE,1.409,NA,1.409,-Inf,1.409,Inf
"Coirós",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Coles",FALSE,1.355,NA,1.355,-Inf,1.355,Inf
"Coles",TRUE,1.394,NA,1.399,-Inf,1.389,Inf
"Colilla (La)",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Colindres",FALSE,1.439,NA,1.439,-Inf,1.439,Inf
"Coll de Nargó",TRUE,1.398,NA,1.398,-Inf,1.398,Inf
"Collado Hermoso",TRUE,1.368,NA,1.368,-Inf,1.368,Inf
"Collado Mediano",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Collado Villalba",FALSE,1.31185714285714,NA,1.429,-Inf,1.199,Inf
"Collado Villalba",TRUE,1.37271428571429,1.628,1.425,1.628,1.269,1.628
"Collbató",FALSE,1.289,NA,1.309,-Inf,1.269,Inf
"Colmenar",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Colmenar",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Colmenar de Oreja",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Colmenar del Arroyo",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Colmenar Viejo",FALSE,1.364,NA,1.379,-Inf,1.349,Inf
"Colmenar Viejo",TRUE,1.409,NA,1.439,-Inf,1.389,Inf
"Colomera",FALSE,1.27,NA,1.27,-Inf,1.27,Inf
"Colunga",TRUE,1.39566666666667,NA,1.409,-Inf,1.389,Inf
"Comillas",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Cómpeta",FALSE,1.24,NA,1.24,-Inf,1.24,Inf
"Condado de Treviño",FALSE,1.3525,NA,1.395,-Inf,1.31,Inf
"Condemios de Arriba",FALSE,1.458,NA,1.458,-Inf,1.458,Inf
"Congosto",TRUE,1.429,1.599,1.429,1.599,1.429,1.599
"Conil de la Frontera",FALSE,1.30133333333333,NA,1.329,-Inf,1.257,Inf
"Conil de la Frontera",TRUE,1.322,NA,1.339,-Inf,1.25,Inf
"Constantí",FALSE,1.289,NA,1.389,-Inf,1.189,Inf
"Constantí",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Constantina",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Constantina",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Consuegra",FALSE,1.26733333333333,NA,1.289,-Inf,1.235,Inf
"Consuegra",TRUE,1.409,1.579,1.409,1.579,1.409,1.579
"Corbera",FALSE,1.334,NA,1.334,-Inf,1.334,Inf
"Corbera d'Ebre",FALSE,1.269,NA,1.269,-Inf,1.269,Inf
"Corbins",FALSE,1.39,NA,1.39,-Inf,1.39,Inf
"Corçà",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Córdoba",FALSE,1.33247368421053,NA,1.419,-Inf,1.159,Inf
"Córdoba",TRUE,1.39202777777778,1.56754545454545,1.419,1.589,1.339,1.549
"Cordobilla de Lácara",FALSE,1.375,NA,1.375,-Inf,1.375,Inf
