"municipio","low_cost","mean(precio_gasoleo_a, na.rm = TRUE)","mean(precio_gasolina_95_e5_premium, na.rm = TRUE)","max(precio_gasoleo_a, na.rm = TRUE)","max(precio_gasolina_95_e5_premium, na.rm = TRUE)","min(precio_gasoleo_a, na.rm = TRUE)","min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Alaró",TRUE,1.449,1.609,1.449,1.609,1.449,1.609
"Alatoz",TRUE,1.39,NA,1.39,-Inf,1.39,Inf
"Alba",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Alba de Tormes",FALSE,1.409,NA,1.409,-Inf,1.409,Inf
"Albacete",FALSE,1.32191666666667,1.559,1.419,1.559,1.249,1.559
"Albacete",TRUE,1.39182352941176,NA,1.425,-Inf,1.359,Inf
"Albaida",FALSE,NA,1.502,-Inf,1.502,Inf,1.502
"Albaida",TRUE,1.45,NA,1.45,-Inf,1.45,Inf
"Albal",FALSE,1.2546,NA,1.266,-Inf,1.245,Inf
"Albal",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Albaladejo",FALSE,1.205,NA,1.205,-Inf,1.205,Inf
"Albalat de la Ribera",FALSE,1.339,NA,1.339,-Inf,1.339,Inf
"Albalat dels Sorells",FALSE,1.2985,NA,1.299,-Inf,1.298,Inf
"Albalat dels Sorells",TRUE,1.369,1.549,1.369,1.549,1.369,1.549
"Albalate de Cinca",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Albalate del Arzobispo",FALSE,1.11,NA,1.11,-Inf,1.11,Inf
"Albalate del Arzobispo",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Albanchez de Mágina",FALSE,1.315,NA,1.315,-Inf,1.315,Inf
"Albarracín",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Albarreal de Tajo",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Albatàrrec",FALSE,1.3195,NA,1.379,-Inf,1.26,Inf
"Albatera",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Albatera",TRUE,1.42233333333333,NA,1.429,-Inf,1.419,Inf
"Albelda de Iregua",FALSE,1.419,NA,1.419,-Inf,1.419,Inf
"Albelda de Iregua",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Albentosa",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Alberca (La)",FALSE,1.399,NA,1.399,-Inf,1.399,Inf
"Alberca de Záncara (La)",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Alberic",FALSE,1.34566666666667,NA,1.369,-Inf,1.329,Inf
"Alberic",TRUE,1.37566666666667,1.5735,1.389,1.578,1.359,1.569
"Alberite",FALSE,1.399,NA,1.399,-Inf,1.399,Inf
"Alberite de San Juan",TRUE,1.359,1.573,1.359,1.573,1.359,1.573
"Albero Bajo",FALSE,1.26,NA,1.26,-Inf,1.26,Inf
"Albesa",FALSE,1.245,NA,1.245,-Inf,1.245,Inf
"Albocàsser",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Albolote",FALSE,1.26983333333333,NA,1.369,-Inf,1.214,Inf
"Albolote",TRUE,1.384,NA,1.399,-Inf,1.369,Inf
"Alborache",TRUE,1.349,NA,1.349,-Inf,1.349,Inf
"Alboraya",FALSE,1.274,NA,1.289,-Inf,1.259,Inf
"Alboraya",TRUE,1.374,NA,1.389,-Inf,1.369,Inf
"Albox",FALSE,1.3082,NA,1.379,-Inf,1.249,Inf
"Albox",TRUE,1.349,NA,1.349,-Inf,1.349,Inf
"Albuera (La)",TRUE,1.414,NA,1.439,-Inf,1.389,Inf
"Albuixech",TRUE,1.349,1.549,1.369,1.549,1.329,1.549
"Albuñán",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Albuñol",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Albuñol",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Alburquerque",TRUE,1.4015,NA,1.404,-Inf,1.399,Inf
"Alcabón",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Alcadozo",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Alcalá de Guadaíra",FALSE,1.32775,NA,1.435,-Inf,1.297,Inf
"Alcalá de Guadaíra",TRUE,1.395,1.596,1.439,1.599,1.29,1.593
"Alcalá de Henares",FALSE,1.34921428571429,NA,1.439,-Inf,1.297,Inf
"Alcalá de Henares",TRUE,1.42014285714286,1.609,1.459,1.609,1.339,1.609
